IATA Code,Name,Country
VLV,Carvajal,Venezuela
PZA,Casanare,Colombia
ICS,Cascade,United States
CZK,Cascade Locks/Stevens,United States
CAT,Cascais Municipal Aerodrome,Portugal
CAC,Cascavel Airport,Brazil
ATU,Casco Cove,United States
PVZ,Casement,United States
CTJ,Caserta Railway Station,Italy
CUV,Casigua,Venezuela
CGG,Casiguran,Philippines
CSI,Casino,Australia
CPR,Casper/Natrona County International Airport,United States
XZB,Casselman Railway Station,Canada
CSS,Cassilandia,Brazil
CST,Castaway,Fiji
CDT,Castellon,Spain
MER,Castle AFB,United States
YCG,Castlegar Airport,Canada
NUF,Castlereigh Reservoir Waterdrome,Sri Lanka
CSR,Casuarito,Colombia
HPH,Cat Bi International Airport,Vietnam
CXY,Cat Cays,Bahamas
YAC,Cat Lake,Canada
CAA,Catacamas,Honduras
TLZ,Catalao,Brazil
SPQ,Catalina SPB,United States
CTC,Catamarca Airport,Argentina
CTA,Catania-Fontanarossa Airport,Italy
IGR,Cataratas del Iguazu International Airport,Argentina
IGU,Cataratas International Airport,Brazil
CTV,Catoca Airport,Angola
CTR,Cattle Creek,Australia
CBT,Catumbela Airport,Angola
CYZ,Cauayan Airport,Philippines
CAQ,Caucasia,Colombia
CDD,Cauquira,Honduras
CNM,Cavern City Air Terminal,United States
CVH,Caviahue,Argentina
AAJ,Cayana Airstrip,Suriname
CUK,Caye Caulker,Belize
CYC,Caye Chapel,Belize
CYO,Cayo Largo Del Sur Airport,Cuba
CAV,Cazombo,Angola
VQQ,Cecil Field,United States
CDC,Cedar City Airport,United States
CED,Ceduna Airport,Australia
CYW,Celaya,Mexico
KCO,Cengiz Topel Airport,Turkey
APA,Centennial Airport,United States
CWS,Center Island,United States
JOC,Centerport Heliport,United States
CEM,Central,United States
JDX,Central Bus. District,United States
BMI,Central Illinois Regional Airport,United States
JVI,Central Jersey Regional Airport,United States
OWK,Central Maine Airport of Norridgewock,United States
CWA,Central Wisconsin Airport,United States
CLS,Centralia,United States
YCE,Centralia,Canada
CCD,Century City,United States
CPF,Cepu,Indonesia
CRR,Ceres,Argentina
MLZ,Cerro Largo,Uruguay
ANF,Cerro Moreno International Airport,Chile
SMB,Cerro Sombrero,Chile
VXE,Cesaria Evora International Airport,Cape Verde
CEA,Cessna Aircraft Field,United States
CES,Cessnock,Australia
JCU,Ceuta Heliport,Spain
VAF,Chabeuil,France
ARI,Chacalluta Airport,Chile
CHH,Chachapoyas,Peru
ATF,Chachoan,Ecuador
CDR,Chadron Airport,United States
CCA,Chaffee AFB,United States
ZBR,Chah-Bahar Airport,Iran
WCH,Chaiten,Chile
CCN,Chakcharan,Afghanistan
CIK,Chalkyitsik,United States
CHL,Challis,United States
XCR,Chalons Vatry Airport,France
XTI,Chamartin Railway St.,Spain
CMF,Chambery,France
XCI,Chambord Railway Station,Canada
CPO,Chamonate Airport,Chile
XIZ,Champagne-Ardenne TGV,France
ZDQ,Champery Railway Station,Switzerland
YKN,Chan Gurney,United States
CNR,Chanaral,Chile
WCR,Chandalar,United States
IXC,Chandigarh Airport,India
XDL,Chandler Railway Station,Canada
NBS,Changbaishan Airport,China
CGQ,Changchun Longjia International Airport,China
CGD,Changde Airport,China
CNI,Changhai,China
SIN,Changi International Airport,Singapore
FOC,Changle International Airport,China
CSX,Changsha Huanghua Airport,China
CHX,Changuinola,Panama
CIH,Changzhi Airport,China
CZX,Changzhou Airport,China
WUZ,Changzhoudao,China
CHQ,Chania International Airport,Greece
CHG,Chaoyang Airport,China
CPL,Chaparral,Colombia
XAP,Chapeco Airport,Brazil
CPC,Chapelco Airport,Argentina
YLD,Chapleau,Canada
CNT,Charata,Argentina
AHU,Charif Al Idrissi Airport,Morocco
CRL,Charleroi Brussels South Airport,Belgium
MKC,Charles B. Wheeler Downtown Airport,United States
CDG,Charles de Gaulle Airport,France
CYB,Charles Kirkconnel International Airport,Cayman Islands
CHS,Charleston International Airport,United States
CTL,Charleville Airport,Australia
YML,Charlevoix,Canada
YCL,Charlo,Canada
PGD,Charlotte County Airport,United States
CLT,Charlotte Douglas International Airport,United States
CHO,Charlottesville Albemarle Airport,United States
YHG,Charlottetown,Canada
YYG,Charlottetown Airport,Canada
VHY,Charmeil,France
XFZ,Charny,Canada
SYT,Charolais Bourgogne S.,France
CXT,Charters Towers,Australia
NIR,Chase Field NAS,United States
ZDR,Chateau-d'Oex Railway Station,Switzerland
CHR,Chateauroux,France
XCM,Chatham,Canada
CYM,Chatham SPB,United States
CHA,Chattanooga Airport,United States
LKO,Chaudhary Charan Singh International Airport,India
HRJ,Chaurjhari,Nepal
CHV,Chaves,Portugal
CSY,Cheboksary Airport,Russia
GEO,Cheddi Jagan International Airport,Guyana
CYF,Chefornak Sea Plane Base,United States
TEE,Cheikh Larbi Tebessi Airport,Algeria
CEH,Chelinda,Malawi
XNB,Chelsea Twr EY Bus Station,United Arab Emirates
CEK,Chelyabinsk International Airport,Russia
XHS,Chemainus Railway Station,Canada
ZTZ,Chemnitz Railway,Germany
CEX,Chena Hot Springs,United States
HZU,Chengdu Huaizhou Airport,China
CTU,Chengdu Shuangliu International Airport,China
TFU,Chengdu Tianfu International Airport,China
MAA,Chennai Airport,India
CWF,Chennault International.,United States
HCZ,Chenzhou Beihu Airport,China
CJJ,Cheongju Airport,South Korea
HCW,Cheraw,United States
CQW,CHERAW MUNI/LYNCH BELLINGER FLD AIRPORT,United States
CEE,Cherepovets Airport,Russia
CKC,Cherkassy,Ukraine
CWC,Chernivtsi International Airport,Ukraine
CKK,Cherokee,United States
JKV,Cherokee County,United States
CBC,Cherrabun,Australia
CRH,Cherribah,Australia
TVC,Cherry Capital Airport,United States
CYX,Cherskiy Airport,Russia
CTH,Chestercounty Carlson,United States
ZFI,Chesterfield Bus Station,United Kingdom
YCS,Chesterfield Inlet,Canada
CTM,Chetumal Airport,Mexico
YCQ,Chetwynd,Canada
VAK,Chevak Airport,United States
YHR,Chevery,Canada
CYS,Cheyenne,United States
BOM,Chhatrapati Shivaji International Airport,India
CMJ,Chi Mei,Taiwan
CNX,Chiang Mai International Airport,Thailand
CEI,Chiang Rai International Airport,Thailand
ZDS,Chiasso Railway Station,Switzerland
CYI,Chiayi Airport,Taiwan
YMT,Chibougamau Airport,Canada
PWK,Chicago Executive Airport,United States
CHI,Chicago FSS,United States
MDW,Chicago Midway International Airport,United States
NOH,Chicago NAS,United States
RFD,Chicago Rockford International Airport,United States
ZUN,Chicago Union Railway Station,United States
CZA,Chichen Itza,Mexico
CKX,Chicken,United States
CIC,Chico Municipal Airport,United States
CIF,Chifeng Airport,China
KCQ,Chignik,United States
KBW,Chignik Bay,United States
IGO,Chigorodo,Colombia
IXU,Chikkalthana Airport,India
CHB,Chilas,Pakistan
CDS,Childress,United States
CCH,Chile Chico,Chile
BLZ,Chileka Airport,Malawi
CJH,Chilko Lake,Canada
LLG,Chillagoe,Australia
YAI,Chillan,Chile
YCW,Chilliwack Municipalcipal Airport,Canada
CHM,Chimbote,Peru
CMU,Chimbu,Papua New Guinea
VPY,Chimoio Airport,Mozambique
JCC,China Basin Heliport,United States
TRR,China Bay,Sri Lanka
SQT,China Straits Airstrip,Papua New Guinea
CCL,Chinchilla,Australia
INE,Chinde,Mozambique
ULN,Chinggis Khaan International Airport,Mongolia
CGJ,Chingola,Zambia
CGT,Chinguitti,Mauritania
CNO,Chino,United States
JKH,Chios Airport,Greece
CIP,Chipata,Zambia
CHJ,Chipinge,Zimbabwe
CIU,Chippewa County Airport,United States
CIQ,Chiquimula,Guatemala
CZN,Chisana Field,United States
YKU,Chisasibi,Canada
HIB,Chisholm Airport,United States
KIV,Chisinau International Airport,Moldova
CZO,Chistochina,United States
HTA,Chita Airport,Russia
PGI,Chitato,Angola
CXC,Chitina Airport,United States
CJL,Chitral,Pakistan
CTD,Chitre,Panama
ZAK,Chiusa/Klausen Bus Station,Italy
IVO,Chivolo,Colombia
JUH,Chizhou Jiuhuashan Airport,China
CKL,Chkalovsky,Russia
CFK,Chlef International Airport,Algeria
COQ,Choibalsan,Mongolia
CHY,Choiseul Bay Airport,Solomon Islands
CKH,Chokurdah Airport,Russia
TGS,Chokwe,Mozambique
CIV,Chomley,United States
CKG,Chongqing Jiangbei International Airport,China
WSK,Chongqing Wushan Airport,China
CHC,Christchurch International Airport,New Zealand
CXQ,Christmas Creek,Australia
CKW,Christmas Creek Mine,Australia
CXI,Christmas Island Airport,Kiribati
XCH,Christmas Island Airport,Christmas Island
VCL,Chu Lai International Airport,Vietnam
CHU,Chuathbaluk Airport,United States
CCZ,Chub Cay,Bahamas
NGO,Chubu Centrair International Airport,Japan
JCJ,Chuja Heliport,South Korea
CJM,Chumphon Airport,Thailand
CVB,Chungribu,Papua New Guinea
ZDT,Chur Railway Station,Switzerland
YYQ,Churchill Airport,Canada
ZUM,Churchill Falls,Canada
XAD,Churchill Railway Station,Canada
YWQ,Chute-Des-Passes,Canada
TKK,Chuuk International Airport,Micronesia
CIA,Ciampino-G. B. Pastine International Airport,Italy
STI,Cibao International Airport,Dominican Republic
ICI,Cicia,Fiji
IGL,Cigli AB,Turkey
CII,Cildir,Turkey
CIM,Cimitarra,Colombia
LUK,Cincinnati Municipal Lunken Airport,United States
CVG,Cincinnati/Northern Kentucky Airport,United States
RCP,Cinder River,United States
IRC,Circle City,United States
CHP,Circle Hot Springs,United States
JCX,Citicorp Plaza Heliport,United States
CKU,City,United States
XHO,City Bus Station,China
KAH,City Heliport,Australia
JBT,City Landing,United States
LDY,City of Derry Airport,United Kingdom
JID,City Of Industry Heliport,United States
EWK,City-County,United States
MDJ,City-county,United States
CBL,Ciudad Bolivar,Venezuela
CUA,Ciudad Constitución Airport,Mexico
LOH,Ciudad de Catamayo Airport,Ecuador
CME,Ciudad Del Carmen Airport,Mexico
CGU,Ciudad Guayana,Venezuela
MMC,Ciudad Mante,Mexico
CEN,Ciudad Obregon Airport,Mexico
CQM,Ciudad Real Central,Spain
XJI,Ciudad Real Railway Station,Spain
CVM,Ciudad Victoria Airport,Mexico
CVA,Civic Ar Heli,United States
AKY,Civil Airport,Myanmar
RAJ,Civil Airport,India
ZYL,Civil Airport,Bangladesh
SEP,Clark Field,United States
CLP,Clarks Point,United States
CAO,Clayton,United States
AXA,Clayton J. Lloyd International Airport,Anguilla
CKE,Clear Lake,United States
YQD,Clearwater,Canada
CMQ,Clermont,Australia
CFE,Clermont-Ferrand Auvergne Airport,France
CVC,Cleve,Australia
CLE,Cleveland Hopkins International Airport,United States
CFH,Clifton Hills,Australia
CWI,Clinton,United States
YLM,Clinton Creek,Canada
ILN,Clinton Field,United States
CLI,Clintonville,United States
CNJ,Cloncurry Airport,Australia
CLX,Clorinda,Argentina
CVN,Clovis Municipal Airport,United States
RZP,CLR Airport,Philippines
CMK,Club Makokola,Malawi
XCL,Cluff Lake,Canada
CZY,Cluny,Australia
YCY,Clyde River,Canada
YCP,Co-op Point,Canada
CXH,Coal Harbour Sea Plane Base,Canada
CLG,Coalinga,United States
CIZ,Coari,Brazil
LRK,Coast Guard,United States
PRT,Coast Guard Heliport,United States
EWN,Coastal Carolina Regional Airport,United States
CTF,Coatepeque Airport,Guatemala
CBV,Coban,Guatemala
CAZ,Cobar,Australia
XGJ,Cobourg Railway Station,Canada
OCC,Coca Airport,Ecuador
COK,Cochin International Airport,India
CWX,Cochise County Airport,United States
LGR,Cochrane,Chile
YCN,Cochrane,Canada
CSO,Cochstedt,Germany
CNC,Coconut Island,Australia
CCK,Cocos Islands Airport,Cocos (Keeling) Islands
DZI,Codazzi,Colombia
CUQ,Coen,Australia
COE,Coeur D'Alene,United States
CFA,Coffee Point,United States
RCK,Coffield,United States
KCC,Coffman Cove SPB,United States
CFS,Coffs Harbour Airport,Australia
CJB,Coimbatore International Airport,India
CBP,Coimbra,Portugal
XCO,Colac,Australia
CDB,Cold Bay Airport,United States
YOD,Cold Lake,Canada
CXF,Coldfoot,United States
COM,Coleman,United States
MTO,Coles County Memorial,United States
CLQ,Colima Airport,Mexico
CRB,Collarenebri,Australia
CGS,College Park,United States
CIE,Collie,Australia
YKC,Collins Bay,Canada
KCE,Collinsville,Australia
CMR,Colmar-houssen,France
ZBC,Colmore Row Bus Station,United Kingdom
CGN,Cologne Bonn Airport,Germany
CCT,Colonia Catriel,Argentina
OLN,Colonia Sarmiento,Argentina
KCR,Colorado Creek,United States
CSW,Colorado do Oeste,Brazil
AKO,Colorado Plains Regional Airport,United States
COS,Colorado Springs Airport,United States
COA,Columbia,United States
HCC,Columbia County,United States
DLS,Columbia Gorge Regional/The Dalles Municipal Airport,United States
CAE,Columbia Metropolitan Airport,United States
COU,Columbia Regional Airport,United States
CBM,Columbus AFB,United States
CSG,Columbus Airport,United States
CLU,Columbus Municipal,United States
OLU,Columbus Municipal,United States
YCK,Colville Lake,Canada
BHI,Comandante Airport,Argentina
ERM,Comandante Kraemer,Brazil
DSE,Combolcha,Ethiopia
CLA,Comilla,Bangladesh
CIY,Comiso Airport,Italy
JBP,Commerce Bus. Plaza,United States
WBK,Community,United States
DIL,Comoro Airport,East Timor
YQQ,Comox Airport,Canada
CPM,Compton,United States
PGZ,Comte Antonio Amilton Beraldo Airport,Brazil
QDV,Comte. Rolim Adolfo Amaro State Airport,Brazil
VCS,Con Dao,Vietnam
CKY,Conakry Airport,Guinea
CDJ,Conceicao Do Araguaia,Brazil
CEP,Concepcion,Bolivia
CON,Concord,United States
USA,Concord-Padgett Regional Airport,United States
CCI,Concordia,Brazil
COC,Concordia,Argentina
CBX,Condobolin,Australia
WSD,Condron AAF,United States
STZ,Confresa,Brazil
CFO,Confreza,Brazil
COX,Congo Town,Bahamas
QCY,Coningsby RAF Station,United Kingdom
CFM,Conklin (Leismer) Airport,Canada
AYQ,Connellan Airport,Australia
NNR,Connemara,Ireland
COZ,Constanza,Dominican Republic
OTD,Contadora,Panama
JCE,Convention Center Heliport,United States
DGW,Converse County,United States
CPD,Coober Pedy Airport,Australia
COH,Cooch Behar,India
CDA,Cooinda,Australia
CTN,Cooktown Airport,Australia
CLH,Coolah,Australia
COY,Coolawanyah,Australia
COB,Coolibah,Australia
COJ,Coonabarabran,Australia
CNB,Coonamble,Australia
CJF,Coondewanna Airport,Australia
COP,Cooperstown - Westville Airport,United States
CRJ,Coorabie,Australia
CMD,Cootamundra,Australia
CJT,Copalar,Mexico
RUY,Copan,Honduras
CPH,Copenhagen Airport,Denmark
ZGH,Copenhagen Central Station,Denmark
CPP,Coposa Airport,Chile
CZC,Copper Centre,United States
QCE,Copper Mountain Bus Station,United States
COW,Coquimbo,Chile
YZS,Coral Harbour Airport,Canada
CZJ,Corazon De Jesus,Panama
LOZ,Corbin-london,United States
CRO,Corcoran,United States
ODL,Cordillo Downs,Australia
ODB,Cordoba,Spain
XOJ,Cordoba Central Railway Station,Spain
OCS,Corisco International Airport,Equatorial Guinea
ORK,Cork Airport,Ireland
TEQ,Corlu,Turkey
RNI,Corn Island,Nicaragua
CIX,Cornel Ruiz Airport,Peru
CKO,Cornelio Procopio,Brazil
CBA,Corner Bay,United States
CZE,Coro,Venezuela
CMV,Coromandel,New Zealand
XCN,Coron Airport,Philippines
YCT,Coronation,Canada
ETR,Coronel Artilleria Victor Larrea Airport,Ecuador
ENQ,Coronel E Soto Cano AB,Honduras
XPL,Coronel Enrique Soto Cano AB,Honduras
LEC,Coronel Horacio de Mattos Airport,Brazil
TOT,Coronie,Suriname
CWW,Corowa,Australia
CZH,Corozal,Belize
CZU,Corozal Airport,Colombia
CRP,Corpus Christi International Airport,United States
AOT,Corrado Gex,Italy
LAJ,Correia Pinto Airport,Brazil
CYG,Corryong,Australia
CRS,Corsicana,United States
YCF,Cortes Bay,Canada
CTX,Cortland,United States
CMG,Corumba Internacional Airport,Brazil
RMU,Corvera International,Spain
CVU,Corvo Island (Azores) Airport,Portugal
ECI,Costa Esmeralda Airport,Nicaragua
CQS,Costa Marques,Brazil
LTX,Cotapaxi International Airport,Ecuador
NCE,Cote D'Azur Airport,France
XGK,Coteau Railway Station,Canada
OTR,Coto 47,Costa Rica
COO,Cotonou Airport,Benin
CBU,Cottbus,Germany
ZTT,Cottbus Railway,Germany
OKH,Cottesmor RAF,United Kingdom
CTW,Cottonwood,United States
COT,Cotulla,United States
CFD,Coulter Field,United States
BFT,County,United States
JAS,County,United States
OBE,County,United States
SIV,County,United States
WSG,County,United States
VCT,County-Foster,United States
CVF,Courchevel,France
YCA,Courtenay,Canada
CVE,Covenas,Colombia
CVT,Coventry Airport,United Kingdom
COV,Covilha,Portugal
CWR,Cowarie,Australia
CCW,Cowell,Australia
YYM,Cowley,Canada
CWT,Cowra,Australia
PRX,Cox Field,United States
CXB,Coxs Bazar Airport,Bangladesh
CYL,Coyoles,Honduras
CZM,Cozumel Airport,Mexico
QWL,Crackenback Village Bus Station,Australia
CDO,Cradock,South Africa
SEM,Craig AFB,United States
CCV,Craig Cove,Vanuatu
CRG,Craig Municipal,United States
CGA,Craig SPB,United States
CIG,Craig-Moffat,United States
CRA,Craiova Airport,Romania
CCG,Crane County Airport,United States
CKR,Crane Island,United States
LMT,Crater Lake Klamath Regional Airport,United States
RAV,Cravo Norte,Colombia
CSF,Creil,France
CSD,Cresswell Downs,Australia
CSE,Crested Butte,United States
CFQ,Creston Valley Airport,Canada
XVC,Crewe Railway Station,United Kingdom
RTN,Crews Field,United States
CCM,Criciuma,Brazil
JCA,Croisette Heliport,France
CKI,Croker Island,Australia
CKD,Crooked Creek,United States
CRI,Crooked Island Airport,Bahamas
CTY,Cross City,United States
YCR,Cross Lake,Canada
STK,Crosson Field,United States
CRV,Crotone,Italy
BRD,Crow Wing County Airport,United States
CDQ,Croydon,Australia
MIC,Crystal,United States
CYE,Crystal Lake,United States
FXO,Cuamba,Mozambique
CUW,Cube Cove,United States
CUG,Cudal,Australia
CDP,Cuddapah,India
CUX,Cuddihy Field,United States
CUY,Cue,Australia
CTI,Cuito Cuanavale,Angola
VHN,Culberson County,United States
CUL,Culiacan International Airport,Mexico
CUJ,Culion,Philippines
CUM,Cumana,Venezuela
WBN,Cummings Park,United States
CMA,Cunnamulla,Australia
CUR,Curacao International Airport,Curaçao
CUI,Currillo,Colombia
BBD,Curtis Field,United States
CPU,Cururupu,Brazil
UZU,Curuzu Cuatia,Argentina
CTB,Cut Bank,United States
CUT,Cutral,Argentina
FCN,Cuxhaven/Nordholz,Germany
CGF,Cuyahoga County,United States
CYU,Cuyo,Philippines
STT,Cyril E. King Airport,U.S. Virgin Islands
DDB,CZ Bus Station,China
FSA,CZ Bus Station,China
HHS,CZ Bus Station,China
HNZ,CZ Bus Station,China
JBD,CZ Bus Station,China
NDH,CZ Bus Station,China
NFF,CZ Bus Station,China
CZW,Czestochowa,Poland
TAC,D. Z. Romualdez Airport,Philippines
SJL,Da Cachoeira,Brazil
DAD,Da Nang International Airport,Vietnam
DAO,Dabo,Papua New Guinea
SIQ,Dabo,Indonesia
GOI,Dabolim Airport,India
DRH,Dabra,Indonesia
TNT,Dade Collier,United States
DDU,Dadu,Pakistan
TAE,Daegu International Airport,South Korea
DCK,Dahl Creek Airport,United States
DAK,Dakhla,Egypt
VIL,Dakhla Airport,Morocco
BLE,Dala Airport,Sweden
DLM,Dalaman Airport,Turkey
DLZ,Dalanzadgad,Mongolia
DBA,Dalbandin,Pakistan
DLB,Dalbertis,Papua New Guinea
DBY,Dalby,Australia
DGD,Dalgaranga,Australia
DHT,Dalhart,United States
DLU,Dali Airport,China
DLC,Dalian Zhoushuizi International Airport,China
DAL,Dallas Love Field,United States
DNE,Dallas North Airport,United States
DFW,Dallas/Fort Worth International Airport,United States
DHG,Dalnegorks,Russia
DLR,Dalnerechensk Airport,Russia
DJO,Daloa,Ivory Coast
DVR,Daly River,Australia
DYW,Daly Waters,Australia
BVF,Dama,Fiji
NMB,Daman,India
DAM,Damascus International Airport,Syria
DBU,Dambulu Oya Tank,Sri Lanka
XZF,Dammam Port,Saudi Arabia
DXR,Danbury Municipal Airport,United States
MSN,Dane County Regional Airport,United States
DFA,Danfeng Airport,China
DNP,Dang,Nepal
DGB,Danger Bay,United States
DGA,Dangriga,Belize
DNL,Daniel Field,United States
YDH,Daniels Harbour,Canada
DSV,Dansville,United States
DYN,Danyang Railway Station,China
DCY,Daocheng Yading Airport,China
DQA,Daqing Shi Airport,China
DSY,Dara Sakor International Airport,Cambodia
DBR,Darbhanga Airport,India
DAP,Darchula,Nepal
MEO,Dare County Regional,United States
DGR,Dargaville,New Zealand
XVG,Darlington Railway Station,United Kingdom
QOF,Darnitsa Bus Station,Ukraine
NLF,Darnley Island,Australia
DAU,Daru Airport,Papua New Guinea
DAZ,Darwaz,Afghanistan
DRW,Darwin International Airport,Australia
XJG,Darwin Railway,Australia
TAZ,Dashoguz,Turkmenistan
SRY,Dashte Naz Airport,Iran
DTD,Datadawai,Indonesia
DAH,Dathina,Yemen
DAT,Datong Airport,China
DAJ,Dauan Island,Australia
DGP,Daugavpils,Latvia
DGG,Daugo,Papua New Guinea
DAF,Daup,Papua New Guinea
YDN,Dauphin,Canada
DVN,Davenport,United States
DVP,Davenport Downs,Australia
DWH,David Wayne Hooks,United States
OWB,Daviess County Airport,United States
MKO,Davis Field,United States
YDI,Davis Inlet,Canada
DMA,Davis Monthan AFB,United States
DAA,Davison AAF,United States
ZDV,Davos Dorf Railway Station,Switzerland
DWD,Dawadmi Airport,Saudi Arabia
TVY,Dawe Airport,Myanmar
YDA,Dawson City Airport,Canada
GDV,Dawson Community Airport,United States
YDQ,Dawson Creek,Canada
DDI,Daydream Island,Australia
GSM,Dayrestan Airport,Iran
MGY,Dayton-Wright Brothers Airport,United States
DAB,Daytona Beach International Airport,United States
DAX,Dazhou Heshi Airport,China
DZH,Dazhou Jinya Airport,China
DZU,Dazu,China
ZAY,De Keyserlei Bus Station,Belgium
DHR,De Kooy/Den Helder Airport,Netherlands
LGI,Deadmans Cay Airport,Bahamas
YRD,Dean River,Canada
YDL,Dease Lake,Canada
DTH,Death Valley,United States
DBP,Debepare,Papua New Guinea
DBM,Debra Marcos,Ethiopia
DBT,Debra Tabor,Ethiopia
DEB,Debrecen Airport,Hungary
DEC,Decatur Airport,United States
BGE,Decatur County,United States
DCR,Decatur Hi-Way,United States
DTR,Decatur Island,United States
YGY,Deception,Canada
DGU,Dedougou,Burkina Faso
WDB,Deep Bay,United States
DHB,Deer Harbor,United States
YVZ,Deer Lake,Canada
YDF,Deer Lake Regional Airport,Canada
YNF,Deer Lake/Stephenville,Canada
DPK,Deer Park,United States
DRG,Deering Airport,United States
DGC,Degahbur,Ethiopia
XXD,Degerfors Railway Station,Sweden
LUM,Dehong Mangshi Airport,China
DED,Dehra Dun Airport,India
PDK,DeKalb Peachtree Airport,United States
CEC,Del Norte County Regional Airport,United States
DRT,Del Rio International Airport,United States
MIE,Delaware County,United States
ZDW,Delemont Railway Station,Switzerland
XXJ,Deli Railway Station,Hungary
XZZ,Delicias Railway St.,Spain
YWJ,Deline,Canada
HXD,Delingha Airport,China
DLV,Delissaville,Australia
ZDY,Delma Island Airport,United Arab Emirates
DTA,Delta,United States
ESC,Delta County Airport,United States
DDN,Delta Downs,Australia
DJN,Delta Junction,United States
DEM,Dembidollo,Ethiopia
DMN,Deming,United States
AXD,Demokritos Airport,Greece
DNM,Denham,Australia
DNQ,Deniliquin,Australia
DEI,Denis Island,Seychelles
DEN,Denver International Airport,United States
DGH,Deoghar International Airport,India
DEP,Deparizo,India
PGK,Depati Amir Airport,Indonesia
SSA,Deputado Luis Eduardo Magalhaes International Airport,Brazil
DPT,Deputatsky,Russia
DEQ,Deqing Moganshan Airport,China
DEA,Dera Ghazi Khan Airport,Pakistan
DSK,Dera Ismail Khan,Pakistan
DRB,Derby,Australia
LOL,Derby Field,United States
XQH,Derby Railway Station,United Kingdom
DER,Derim,Papua New Guinea
DSM,Des Moines International Airport,United States
DRA,Desert Rock,United States
YDS,Desolation Sound,Canada
DES,Desroches,Seychelles
ZSU,Dessau Railway,Germany
VPS,Destin Fort Walton Beach Airport,United States
DSI,Destin-Fort Walton Beach Airport,United States
DET,Detroit City,United States
DTT,Detroit Metropolitan Area,United States
DTW,Detroit Metropolitan Wayne County Airport,United States
NFB,Detroit NAF,United States
QYV,Deventer Railway Station,Netherlands
IDR,Devi Ahilya Bai Holkar Airport,India
DVL,Devils Lake Airport,United States
GRM,Devils Track,United States
DPO,Devonport Airport,Australia
LNI,Dew Station,United States
PIZ,Dew Station Airport,United States
ZEQ,Dewsbury Bus Station,United Kingdom
DEY,Deyang Bus Station,China
DEF,Dezful Airport,Iran
DDD,Dhaalu Airport,Maldives
DHL,Dhala,Yemen
DMR,Dhamar,Yemen
DBD,Dhanbad,India
DHI,Dhangarhi,Nepal
DRV,Dharavandhoo AIrport,Maldives
DTI,Diamantina,Brazil
DYM,Diamantina Lakes,Australia
DMT,Diamantino,Brazil
DNO,Dianopolis,Brazil
DIP,Diapaga,Burkina Faso
DVK,Diavik,Canada
BYB,Dibaa,Oman
DIB,Dibrugarh Airport,India
DIK,Dickinson Regional Airport,United States
XDE,Diebougou,Burkina Faso
IQQ,Diego Aracena International Airport,Chile
FAJ,Diego Jimenez Torres,Puerto Rico
DIN,Dien Bien Airport,Vietnam
DPE,Dieppe,France
ZDX,Dietikon Railway Station,Switzerland
YDG,Digby,Canada
YPR,Digby Island Airport,Canada
DIJ,Dijon,France
DKS,Dikson,Russia
DSG,Dilasag,Philippines
EEN,Dillant-Hopkins,United States
HDH,Dillingham Airfield,United States
DLG,Dillingham Airport,United States
DLL,Dillon,United States
DLN,Dillon,United States
DLY,Dillons Bay,Vanuatu
DMU,Dimapur Airport,India
DIM,Dimbokro,Ivory Coast
DNU,Dinangat,Papua New Guinea
PTB,Dinwiddie County Airport,United States
DIO,Diomede Island,United States
DOS,Dios,Papua New Guinea
CRK,Diosdado Macapagal International (Clark International),Philippines
DPL,Dipolog Airport,Philippines
DIG,Diqing Shangri-La Airport,China
DRC,Dirico,Angola
DRN,Dirranbandi,Australia
DIU,Diu Airport,India
DIQ,Divinopolis,Brazil
DIV,Divo,Ivory Coast
DXD,Dixie,Australia
MVF,Dixsept Rosado,Brazil
DIY,Diyarbakir Airport,Turkey
DWO,Diyawanna Oya Seaplane Base,Sri Lanka
DJM,Djambala,Republic of the Congo
XDJ,Djibo,Burkina Faso
JIB,Djibouti-Ambouli International Airport,Djibouti
DOE,Djoemoe,Suriname
DJA,Djougou,Benin
DJU,Djupivogur,Iceland
DNK,Dnepropetrovsk International Airport,Ukraine
CTQ,Do Palmar,Brazil
DOA,Doany,Madagascar
MGE,Dobbins AFB,United States
DOB,Dobo Airport,Indonesia
YDX,Doc Creek,Canada
DKV,Docker River,Australia
DDC,Dodge City Municipal Airport,United States
UNU,Dodge County,United States
DDM,Dodoima,Papua New Guinea
DOD,Dodoma Airport,Tanzania
DIA,Doha International Airport,Qatar
DOI,Doini,Papua New Guinea
DLE,Dole-Jura Airport,France
ZBE,Dolni Benesov,Czech Republic
DLO,Dolomi,United States
DOP,Dolpa,Nepal
XGP,Dombas Railway Station,Norway
GDL,Don Miguel Hidal Y Costilla International Airport,Mexico
DMK,Don Mueang International Airport,Thailand
GDC,Donaldson Center,United States
DSA,Doncaster Sheffield Airport,United Kingdom
CFN,Donegal Airport,Ireland
DOK,Donetsk International Airport,Ukraine
VDH,Dong Hoi Airport,Vietnam
DOX,Dongara,Australia
DGM,Dongguan,Sri Lanka
DOG,Dongola,Sudan
DSX,Dongsha Island,Taiwan
DOY,Dongying Airport,China
DMD,Doomadgee Airport,Australia
DNG,Doongan,Australia
SUE,Door County,United States
DOF,Dora Bay,United States
DDP,Dorado Beach,Puerto Rico
DOR,Dori,Burkina Faso
JOJ,Doris Lake Aerodrome,Canada
